,machine_id,cpus,memory
105,422080,0.5,0.4995
106,422082,0.5,0.4995
107,422084,0.5,0.4995
108,422087,0.5,0.4995
109,422090,0.5,0.4995
110,422091,0.5,0.4995
111,450799,0.5,0.4995
112,485231,0.5,0.4995
113,485241,0.5,0.4995
114,486699,0.5,0.4995
115,486702,0.5,0.4995
116,486703,0.5,0.4995
117,486704,0.5,0.4995
118,486707,0.5,0.4995
119,486711,0.5,0.4995
120,486805,0.5,0.4995
121,486816,0.5,0.4995
122,486820,0.5,0.4995
123,486821,0.5,0.4995
124,486826,0.5,0.4995
125,486827,0.5,0.4995
126,486956,0.5,0.4995
127,486957,0.5,0.4995
128,486958,0.5,0.4995
129,486959,0.5,0.4995
130,486961,0.5,0.4995
131,487295,0.5,0.4995
132,487385,0.5,0.4995
133,487386,0.5,0.4995
134,487390,0.5,0.4995
135,487391,0.5,0.4995
136,487397,0.5,0.4995
137,487399,0.5,0.4995
138,487402,0.5,0.4995
139,487403,0.5,0.4995
140,487404,0.5,0.4995
141,487407,0.5,0.4995
142,487411,0.5,0.4995
143,487414,0.5,0.4995
144,487535,0.5,0.4995
145,487538,0.5,0.4995
146,487541,0.5,0.4995
147,487545,0.5,0.4995
148,487547,0.5,0.4995
149,487548,0.5,0.4995
150,495767,0.5,0.4995
151,514995,0.5,0.4995
152,514996,0.5,0.4995
153,567335,0.5,0.4995
154,567336,0.5,0.4995
155,567341,0.5,0.4995
156,567345,0.5,0.4995
157,567348,0.5,0.4995
158,567376,0.5,0.4995
159,567377,0.5,0.4995
160,567382,0.5,0.4995
161,567383,0.5,0.4995
162,567596,0.5,0.4995
163,567597,0.5,0.4995
164,567599,0.5,0.4995
165,567601,0.5,0.4995
166,567604,0.5,0.4995
167,567608,0.5,0.4995
168,567610,0.5,0.4995
169,567611,0.5,0.4995
170,567616,0.5,0.4995
171,567617,0.5,0.4995
172,567618,0.5,0.4995
173,567624,0.5,0.4995
174,567626,0.5,0.4995
175,567748,0.5,0.4995
176,567752,0.5,0.4995
177,567756,0.5,0.4995
178,567757,0.5,0.4995
179,567763,0.5,0.4995
180,567764,0.5,0.4995
181,567769,0.5,0.4995
182,567777,0.5,0.4995
183,567780,0.5,0.4995
184,567782,0.5,0.4995
185,567783,0.5,0.4995
186,567790,0.5,0.4995
187,567902,0.5,0.4995
188,567907,0.5,0.4995
189,567909,0.5,0.4995
190,567910,0.5,0.4995
191,567917,0.5,0.4995
192,567920,0.5,0.4995
193,567924,0.5,0.4995
194,567929,0.5,0.4995
195,567930,0.5,0.4995
196,567933,0.5,0.4995
197,568912,0.5,0.4995
198,595665,0.5,0.4995
199,595666,0.5,0.4995
200,595672,0.5,0.4995
201,595677,0.5,0.4995
202,599601,0.5,0.4995
203,599604,0.5,0.4995
204,599605,0.5,0.4995
205,599607,0.5,0.4995
206,599610,0.5,0.4995
207,599614,0.5,0.4995
208,599619,0.5,0.4995
209,599620,0.5,0.4995
210,599621,0.5,0.4995
211,599623,0.5,0.4995
212,599624,0.5,0.4995
213,599626,0.5,0.4995
214,599632,0.5,0.4995
215,599637,0.5,0.4995
216,599756,0.5,0.4995
217,599757,0.5,0.4995
218,599758,0.5,0.4995
219,599760,0.5,0.4995
220,599763,0.5,0.4995
221,599764,0.5,0.4995
222,599765,0.5,0.4995
223,599770,0.5,0.4995
224,599788,0.5,0.4995
